Class,Rank,, PvE Challenge,Count,PvP Challenge,Count,Notes
Field Medic,16,A,Kill 10 enemies in New Stirling Province in less than 40 seconds.,1,Kill enemy players with SMG/STG.,36,
Field Medic,16,B,"While carrying a body, kill 3 enemies in 10 seconds.",2,Revive teammates with medic drone.,18,
Field Medic,16,C,Hit 3 headshots in 6 seconds.,2,Mark enemy players.,32,
Field Medic,17,A,Run enemies over with any vehicle.,4,Kill enemy players with SMG/STG.,38,
Field Medic,17,B,Kill 5 enemies with a rocket launcher without getting detected.,2,Kill enemy players while unmarked.,26,
Field Medic,17,C,Run an enemy over with a VHC then quickly kill 2 with a rocket launcher.,1,Heal teammates with a Medkit.,18,
Field Medic,18,A,Kill 10 enemies without getting detected in Silent Mountain Province in less than 60 seconds.,1,Kill enemy players with DMR.,38,
Field Medic,18,B,"Kill enemies with a mine, a grenade, and C4 in less than 10 seconds.",1,Mark enemy players.,40,
Field Medic,18,C,"Kill 4 enemies in 24 seconds, while detected, without getting hit.",1,Win Ghost War rounds.,20,
Field Medic,19,A,Kill enemies from more than 200m with an LMG.,5,Kill enemy players with SMG/STG.,40,
Field Medic,19,B,Hit 5 headshots with an LMG without missing a shot.,1,Revive teammates.,32,
Field Medic,19,C,Kill 5 enemies in 15 seconds with an LMG.,2,Kill 2 different players in the same match.,10,
Field Medic,20,A,Kill 10 enemies in Good Hope Mountain province in less than 40 seconds.,1,Kill enemy players with SMG/STG.,40,
Field Medic,20,B,Kill 3 enemies with explosives quickly after landing with a parachute.,1,Revive teammates with medic drone.,22,
Field Medic,20,C,Run over 3 enemies at once while piloting a helicopter.,1,Win Ghost War rounds.,22,
Panther,2,A,Kill enemies with a firearm.,5,Kill enemy players with SMG/HDG.,1,
Panther,2,B,Kill enemies while stealthed.,2,Win Ghost War rounds.,1,
Panther,3,A,Kill enemies while stealthed.,10,Kill enemy players with SMG/HDG.,2,
Panther,3,B,Vanish from enemy sight with CLOAK & RUN.,1,Damage multiple enemy players.,5,
Panther,4,A,Kill enemies while stealthed.,10,Kill enemy players with SMG/HDG.,5,
Panther,4,B,Kill enemies with CQC.,2,Kill enemy players from less than 80m.,3,
Panther,4,C,Kill 3 enemies with SMG without reloading or swapping.,1,Win Ghost War rounds.,2,
Panther,5,A,Kill enemies while stealthed.,15,Kill enemy players with SMG/HDG.,6,
Panther,5,B,Kill enemies while using CLOAK & RUN.,1,Win Ghost War rounds.,3,
Panther,5,C,Kill 2 enemies with CQC in less than 20 seconds.,1,Kill enemy players while unmarked.,5,
Panther,6,A,Kill enemies while stealthed.,20,Kill enemy players with SMG/HDG.,7,
Panther,6,B,Kill 2 enemies in less than 3 seconds.,4,Win Ghost War rounds.,4,
Panther,6,C,Kill 4 enemies with SMG or HDG without reloading.,2,Kill enemy players from less than 60m.,4,
Panther,6,D,Kill 3 enemies without being detected.,2,Damage multiple enemy players.,12,
Panther,7,A,Kill enemies while stealthed.,30,Kill enemy players with SMG/HDG.,9,
Panther,7,B,Kill enemies while using CLOAK & RUN.,3,Win Ghost War rounds.,5,
Panther,7,C,Kill 3 enemies with SMG without reloading or swapping.,2,Kill enemy players from less than 60m.,6,
Panther,7,D,Kill 2 enemies with CQC in less than 10 seconds.,1,Kill enemy players while unmarked.,8,
Panther,8,A,Kill enemies while stealthed.,40,Kill enemy players with SMG/HDG.,9,
Panther,8,B,Kill 5 enemies with SMG without reloading or swapping.,2,Win Ghost War rounds.,7,
Panther,8,C,Kill enemies with CQC while using CLOAK & RUN.,1,Damage multiple enemy players.,20,
Panther,8,D,Kill 3 enemies without being detected in less than 20 seconds.,2,Kill enemy players while unmarked.,10,
Panther,9,A,Kill enemies while stealthed.,50,Kill enemy players with SMG/HDG.,12,
Panther,9,B,Destroy enemy drones.,10,Kill enemy players from less than 50m.,12,
Panther,9,C,Kill 3 enemies in less than 3 seconds.,5,Win Ghost War rounds.,9,
Panther,9,D,Kill 5 enemies without being detected.,3,Kill enemy players while unmarked.,22,
Panther,10,A,Kill enemies while stealthed.,70,Kill enemy players with SMG/HDG.,14,
Panther,10,B,Kill 3 enemies in one use of CLOAK & RUN.,2,Kill enemy players while unmarked.,14,
Panther,10,C,Kill 20 enemies without being detected.,1,Kill enemy players from less than 30m.,7,
Panther,10,D,Kill 8 enemies with SMG without reloading or swapping.,1,Win Ghost War rounds.,10,
Panther,11,A,Kill enemies on Golem Island.,40,Kill enemy players with SMG/HDG.,32,
Panther,11,B,"Kill 4 enemies with CQC, without getting detected, in Golem Island's Ancient Harbor.",1,Win Ghost War rounds.,12,
Panther,11,C,Kill an enemy with CQC from prone camo.,1,Mark enemy players.,22,
Panther,12,A,Kill 8 enemies without getting detected in Golem Island's Forgotten Sanctuary.,2,Kill enemy players with SMG/HDG.,32,
Panther,12,B,Kill 8 enemies without getting detected in Golem Island's Chemical Pipeline.,2,Kill enemy players from less than 60m.,18,
Panther,12,C,Hit 4 headshots with 4 bullets without getting detected.,1,Kill enemy players while unmarked.,32,
Panther,13,A,Kill 12 enemies without getting detected in Golem Island's Satellite Dish.,1,Kill enemy players with SMG/HDG.,34,
Panther,13,B,Kill 8 enemies with an SMG in 40 seconds in Golem Island's Camp Salamander.,1,Damage multiple enemy players.,44,
Panther,13,C,Quickly kill one enemy with CQC and one with an SMG (any order).,1,Win Ghost War rounds.,22,May not work out of stated order.
Panther,14,A,Kill 20 enemies without getting detected in Golem Island's Camp Phoenix.,1,Kill enemy players with SMG/HDG.,34,
Panther,14,B,Kill 5 enemies in one use of CLOAK and RUN in Golem Island's Testing Zone.,1,Kill enemy players from less than 30m.,18,
Panther,14,C,Kill 5 enemies with CQC without getting detected.,1,Kill enemy players while unmarked.,34,
Panther,15,A,Kill 10 enemies without getting detected in Golem Island's Missile Site Ruins.,2,Kill enemy players with SMG/HDG.,36,
Panther,15,B,Kill 4 enemies in Golem Island's Red Phoenix Outpost without missing a shot.,2,Kill 2 different players in the same match.,12,
Panther,15,C,Kill 3 in 4 seconds in Golem Island's Scandium Mine.,3,Win Ghost War rounds.,16,
Panther,16,A,Kill 10 enemies in Fen Bog province in less than 40 seconds.,1,Kill enemy players with SMG/HDG.,36,
Panther,16,B,Kill 10 enemies with an STG without getting detected.,1,Kill enemy players from less than 60m.,20,
Panther,16,C,Kill 8 enemies in 40 seconds without getting detected.,2,Mark enemy players.,24,
Panther,17,A,Kill 2 enemies with mines then one with CQC in 8 seconds.,1,Kill enemy players with SMG/HDG.,38,
Panther,17,B,Run 4 enemies over with a vehicle without getting detected.,1,Kill enemy players while unmarked.,32,
Panther,17,C,Run an enemy over with a VHC then quickly kill another with CQC.,1,Damage multiple enemy players.,40,
Panther,18,A,Kill 10 enemies without getting detected in Silent Mountain Province in less than 60 seconds.,1,Kill enemy players with SMG/HDG.,38,
Panther,18,B,Kill 3 enemies while detected without getting hit or missing a shot.,1,Kill enemy players from less than 60m.,22,"Triggered without being detected, while doing A."
Panther,18,C,Kill 3 enemies while hip firing with an SMG in 6 seconds.,2,Win Ghost War rounds.,20,
Panther,19,A,Kill enemies from more than 200m with an SMG.,1,Kill enemy players with SMG/HDG.,40,
Panther,19,B,Kill 10 enemies in one use of CLOAK & RUN.,1,Damage multiple enemy players.,50,
Panther,19,C,Hit 4 headshots with 4 bullets without getting detected.,2,Kill enemy players while unmarked.,38,
Panther,20,A,Kill 10 enemies without getting detected in Driftwood Isles province in less than 60 seconds.,1,Kill enemy players with SMG/HDG.,40,
Panther,20,B,"Kill 3 enemies with 3 different firearms in 15 seconds, without getting detected.",1,Kill enemy players from less than 30m.,22,
Panther,20,C,Hit 5 headshots in 20 seconds.,2,Kill 2 different players in the same match.,14,
Sharpshooter,2,A,Kill enemies with a firearm.,5,Kill enemy players with SNR/DMR.,1,
Sharpshooter,2,B,Kill enemies with a headshot.,2,Mark enemy players.,2,
Sharpshooter,3,A,Kill enemies with a Sniper Rifle or DMR.,15,Kill enemy players with SNR/DMR.,2,
Sharpshooter,3,B,Kill enemies while using ARMOR BUSTER.,1,Kill enemy players from more than 100m.,2,
Sharpshooter,4,A,Kill enemies with a Sniper Rifle or DMR.,20,Kill enemy players with SNR/DMR.,5,
Sharpshooter,4,B,Kill enemies while holding breath.,3,Win Ghost War rounds.,2,
Sharpshooter,4,C,Kill enemies with SNR or DMR from more than 150 meters away.,2,Damage multiple enemy players.,7,
Sharpshooter,5,A,Kill enemies with a Sniper Rifle or DMR.,25,Kill enemy players with SNR/DMR.,6,
Sharpshooter,5,B,Kill 3 enemies with SNR or DMR without reloading or swapping.,4,Kill enemy players from more than 100m.,6,
Sharpshooter,5,C,Kill enemies while using ARMOR BUSTER.,2,Win Ghost War rounds.,3,
Sharpshooter,6,A,Kill enemies with a Sniper Rifle or DMR.,30,Kill enemy players with SNR/DMR.,7,
Sharpshooter,6,B,Kill enemies with SNR or DMR from more than 200 meters away.,3,Win Ghost War rounds.,4,
Sharpshooter,6,C,Kill 3 enemies with SNR or DMR in less than 20 seconds.,2,Mark enemy players.,12,
Sharpshooter,6,D,Destroy drones with ARMOR BUSTER.,1,Kill enemy players from more than 100m.,7,
Sharpshooter,7,A,Kill enemies with a Sniper Rifle or DMR.,40,Kill enemy players with SNR/DMR.,9,
Sharpshooter,7,B,Kill enemies while holding breath.,10,Damage multiple enemy players.,15,
Sharpshooter,7,C,Kill 4 enemies with SNR or DMR without reloading or swapping.,2,Win Ghost War rounds.,5,
Sharpshooter,7,D,Kill 5 enemies without being detected.,1,Kill enemy players from more than 120m.,3,
Sharpshooter,8,A,Kill enemies with a Sniper Rifle or DMR.,50,Kill enemy players with SNR/DMR.,9,
Sharpshooter,8,B,Kill enemies with SNR or DMR from more than 200 meters away.,10,Kill enemy players from more than 120m.,4,
Sharpshooter,8,C,Kill three enemies in one use of ARMOR BUSTER.,1,Win Ghost War rounds.,7,
Sharpshooter,8,D,Kill enemies with a headshot from more than 250 meters away.,1,Mark enemy players.,20,
Sharpshooter,9,A,Kill enemies with a Sniper Rifle or DMR.,60,Kill enemy players with SNR/DMR.,12,
Sharpshooter,9,B,Destroy enemy drones.,10,Win Ghost War rounds.,9,
Sharpshooter,9,C,Kill 3 enemies in less than 3 seconds.,5,Kill enemy players from more than 150m.,6,
Sharpshooter,9,D,Kill 15 enemies with SNR or DMR without taking damage.,1,Damage multiple enemy players.,25,
Sharpshooter,10,A,Kill enemies with a Sniper Rifle or DMR.,80,Kill enemy players with SNR/DMR.,14,
Sharpshooter,10,B,Kill enemies with a headshot from more than 250 meters away.,2,Win Ghost War rounds.,10,
Sharpshooter,10,C,Kill 20 enemies without being detected.,1,Kill enemy players while unmarked.,14,
Sharpshooter,10,D,Kill enemies with SNR or DMR from more than 400 meters away.,1,Kill enemy players from more than 150m.,7,
Sharpshooter,11,A,Kill enemies on Golem Island.,40,Kill enemy players with SNR/DMR.,32,
Sharpshooter,11,B,Kill enemies with SNR or DMR while hip firing.,2,Win Ghost War rounds.,12,
Sharpshooter,11,C,Kill a helicopter pilot with an SNR or DMR.,1,Mark enemy players.,22,
Sharpshooter,12,A,Kill enemies from more than 200m in Golem Island's Heliport.,12,Kill enemy players with SNR/DMR.,32,
Sharpshooter,12,B,"Kill 8 enemies with an SNR or DMR, without missing a shot, in Golem Island's Satellite Dish.",1,Kill enemy players from more than 150m.,18,
Sharpshooter,12,C,Kill enemies with a headshot from more than 300m.,2,Kill enemy players while unmarked.,28,
Sharpshooter,13,A,Kill enemies with headshots in Golem Island's Chemical Refinery.,12,Kill enemy players with SNR/DMR.,34,
Sharpshooter,13,B,Hit 4 headshots in 15 seconds in Golem Island's Camp Salamander.,2,Damage multiple enemy players.,44,
Sharpshooter,13,C,Kill 2 enemies with an SNR or DMR in less than 2 seconds.,2,Win Ghost War rounds.,14,
Sharpshooter,14,A,Hit 3 headshots with 3 bullets in Golem Island's Testing Zone.,3,Kill enemy players with SNR/DMR.,34,
Sharpshooter,14,B,Hit 12 headshots without dying in Golem Island's Missile Site Ruins.,1,Kill enemy players from more than 150m.,20,
Sharpshooter,14,C,Hit 3 headshots in 6 seconds.,2,Kill enemy players while unmarked.,32,
Sharpshooter,15,A,Kill enemies with headshots in Golem Island's Lavaduct.,12,Kill enemy players with SNR/DMR.,36,
Sharpshooter,15,B,Quickly kill one enemy with an SNR and one with an HDG (any order).,1,Kill 2 different players in the same match.,12,
Sharpshooter,15,C,Kill enemies with a headshot from more than 350m.,1,Win Ghost War rounds.,16,
Sharpshooter,16,A,Kill 10 enemies in Mount Hodgson province in less than 40 seconds.,1,Kill enemy players with SNR/DMR.,36,
Sharpshooter,16,B,Kill 12 enemies without missing a single shot.,1,Kill enemy players from more than 150m.,24,
Sharpshooter,16,C,Hit 15 shots on human enemies without missing.,1,Mark enemy players.,24,
Sharpshooter,17,A,Kill enemies with SNR or DMR while hip firing.,5,Kill enemy players with SNR/DMR.,38,
Sharpshooter,17,B,Hit 2 headshots with 2 different weapons in 8 seconds.,2,Kill enemy players while unmarked.,32,
Sharpshooter,17,C,"While detected, kill 2 snipers in 8 seconds without getting hit.",1,Win Ghost War rounds.,18,
Sharpshooter,18,A,Kill 10 enemies in Smuggler's Cove province in less than 40 seconds.,1,Kill enemy players with SNR/DMR.,38,
Sharpshooter,18,B,Kill 2 enemies with 2 different firearms from more than 150m in 10 seconds.,2,Kill enemy players from more than 150m.,26,
Sharpshooter,18,C,"Quickly get one kill with CQC, one with an SNR, and one with a DMR (any order).",1,Kill enemy players while unmarked.,34,Did not work out of stated order.
Sharpshooter,19,A,Kill 2 enemies with mines then 2 with SNR or DMR in 5 seconds.,1,Kill enemy players with SNR/DMR.,40,
Sharpshooter,19,B,"Hit a pair of legs, a chest, and a head, in this order, without missing a shot.",3,Damage multiple enemy players.,50,
Sharpshooter,19,C,Hit 30 shots on human enemies without missing.,1,Mark enemy players.,40,
Sharpshooter,20,A,Kill 10 enemies without getting detected in Infinity province in less than 60 seconds.,1,Kill enemy players with SNR/DMR.,40,
Sharpshooter,20,B,Hit 5 headshots with 5 bullets.,2,Kill enemy players from more than 150m.,30,
Sharpshooter,20,C,Hit 2 headshots in 6 seconds from more than 250m.,1,Kill 2 different players in the same match.,14,
Echelon,2,A,Kill enemies with a firearm.,5,Kill enemy players with SMG/HDG.,1,
Echelon,2,B,Kill enemies while stealthed.,2,Mark enemy players.,3,
Echelon,3,A,Kill enemies while stealthed.,10,Kill enemy players detected by Pulse Vision.,2,
Echelon,3,B,Kill 2 enemies in less than 3 seconds.,1,Damage multiple enemy players.,5,
Echelon,4,A,Kill enemies while stealthed.,10,Kill enemy players shocked by Shock Pistol.,3,
Echelon,4,B,Kill enemies with CQC.,2,Kill enemy players from less than 80m.,3,
Echelon,4,C,Kill 2 enemies with HDG without reloading or swapping.,1,Win Ghost War rounds.,2,
Echelon,5,A,Kill enemies with a firearm.,30,Kill enemy players with SMG/HDG.,6,
Echelon,5,B,Kill enemies while stealthed.,15,Win Ghost War rounds.,3,
Echelon,5,C,Kill 2 enemies with CQC in less than 20 seconds.,1,Mark enemy players.,9,
Echelon,6,A,Kill enemies while stealthed.,20,Kill enemy players detected by Pulse Vision.,4,
Echelon,6,B,Kill 2 enemies in less than 3 seconds.,4,Win Ghost War rounds.,4,
Echelon,6,C,Kill 4 enemies with SMG or HDG without reloading.,2,Kill enemy players from less than 60m.,4,
Echelon,6,D,Kill 3 enemies without being detected.,2,Damage multiple enemy players.,12,
Echelon,7,A,Kill enemies while stealthed.,30,Kill enemy players with SMG/HDG.,9,
Echelon,7,B,Kill 2 enemies in less than 3 seconds.,5,Win Ghost War rounds.,5,
Echelon,7,C,Kill 3 enemies with HDG without reloading or swapping.,2,Mark enemy players.,15,
Echelon,7,D,Kill 2 enemies with CQC in less than 10 seconds.,1,Kill enemy players shocked by Shock Pistol.,6,
Echelon,8,A,Kill enemies while stealthed.,40,Kill enemy players with SMG/HDG.,8,
Echelon,8,B,Kill enemies with CQC.,8,Win Ghost War rounds.,7,
Echelon,8,C,Kill 5 enemies with HDG without reloading or swapping.,2,Damage multiple enemy players.,18,
Echelon,8,D,Kill 3 enemies without being detected in less than 20 seconds.,2,Kill enemy players detected by Pulse Vision.,7,
Echelon,9,A,Kill enemies while stealthed.,50,Kill enemy players shocked by Shock Pistol.,10,
Echelon,9,B,Kill 3 enemies in less than 3 seconds.,5,Mark enemy players.,15,
Echelon,9,C,Kill 5 enemies with HDG without reloading or swapping.,4,Win Ghost War rounds.,9,
Echelon,9,D,Kill 5 enemies without being detected.,3,Kill enemy players while unmarked.,12,
Echelon,10,A,Kill enemies while stealthed.,70,Kill enemy players with SMG/HDG.,12,
Echelon,10,B,Kill enemies with CQC.,20,Kill enemy players detected by Pulse Vision.,10,
Echelon,10,C,Kill 5 enemies with HDG without reloading or swapping.,6,Kill enemy players shocked by Shock Pistol.,8,
Echelon,10,D,Kill 20 enemies without being detected.,1,Win Ghost War rounds.,10,
Echelon,11,A,Kill enemies on Golem Island.,40,Kill enemy players with SMG/HDG.,32,
Echelon,11,B,Kill 12 enemies without getting detected in Golem Island's Ancient Harbor.,1,Kill enemy players while unmarked.,32,
Echelon,11,C,Kill enemies while hip firing with an HDG.,3,Mark enemy players.,22,
Echelon,12,A,Kill 8 enemies with headshots without getting detected in Golem Island's Heliport.,1,Kill enemy players shocked by Shock Pistol.,16,
Echelon,12,B,Kill 4 enemies with an HDG without missing a shot in the Chemical Pipeline on Golem Island.,2,Kill enemy players from less than 60m.,18,
Echelon,12,C,Kill a helicopter pilot with an HDG.,1,Win Ghost War rounds.,14,
Echelon,13,A,Kill enemies with an HDG in Golem Island's Chemical Refinery.,20,Kill enemy players with SMG/HDG.,32,
Echelon,13,B,Kill 3 enemies at once with the Shock Pistol.,1,Kill enemy players detected by Pulse Vision.,12,
