Order,Type,Name,Province,Location,Episode,Mission,Notes,Leads to…
60,VIP Profile,Pollinator: Flora for the Future?,Liberty,Skell Technology Location,Deep State,N/A,"Doctor's house SE of Detention Center, ground floor home office.",
61,VIP Profile,General Reggie Paxton's Service Record,Liberty,Ayn Rand Residences,Deep State,N/A,"House closest to beach with tennis court, first floor entry.",
62,VIP Profile,Greetings from Wonderland,Seal Islands,Cave Site,Deep State,N/A,Sea cave SSE of Albatross Peak. First collectible found entering the cave. Mission doesn't have to be active.,
63,VIP Profile,Bribe List,Channels,Channels R&D Center,Deep State,Two Birds One Stone,"Control room, only accessible during mission.",
64,VIP Profile,Sam Fisher is Taking Precautionary Measures,Channels,Cold War Site,Deep State,N/A,"Bugged and uncollectable on release, patched at TU3 and now on top of Fisher's Bunker.",
65,VIP Profile,Claw Coordination Bug Resolved,Seal Islands,Cave Site,Deep State,Enemy Within,"Lower deck of testing area, center, room labeled Lab 02, only accessible during mission.",
66,VIP Profile,Flying Drones Environmental Immunity,Seal Islands,Cave Site,Deep State,Enemy Within,"Upper deck of testing area, SE corner, room labeled Lab 03, only accessible during mission.",
67,VIP Profile,Biowarfare Behemoth for CLAW Weaponization,Seal Islands,Cave Site,Deep State,Enemy Within,"Upper deck of testing area, NE corner, Behemoth turret test station, only accessible during mission.",
68,VIP Profile,Ground Drone Armor-Plating Study for CLAW Defense,Seal Islands,Cave Site,Deep State,Enemy Within,"Lower deck of testing are, NW corner, next to the ground drone test station, only accessible during mission.",
69,VIP Profile,MISSING IN ACTION,Channels,Abandoned Site,Deep State,Missing in Action,Speak with Sam and complete the mission.,
70,VIP Profile,ONE MIND ARMY,Channels,Auroa Power Plant,Deep State,One Mind Army,View the personel list and complete the mission.,
71,VIP Profile,SPIRIT OF THE HIVE,Liberty,Auroa Solar Power Plant,Deep State,Spirit of the Hive,Speak with Van Dyke and complete the mission.,
72,VIP Profile,BLACK SHEEP,Restricted Area 01,Freeman Residences,Deep State,Black Sheep,Speak with Mackenzie and complete the mission.,
73,VIP Profile,ENEMY WITHIN,Seal Islands,Cave Site,Deep State,Enemy Within,Exit the cave and complete the mission.,
74,VIP Profile,LEGAL MOVE,Seal Islands,Unmarked location,Deep State,Legal Move,Eliminate hostiles and complete the mission.,
75,VIP Profile,LONE WOLF,Seal Islands,Traces of Ancient Ruins,Deep State,Lone Wolf,Speak with Sekulic and complete the mission.,
76,VIP Profile,BEHIND THE CURTAIN,Seal Islands,Traces of Ancient Ruins,Deep State,Lone Wolf,Speak with Sekulic and complete the mission.,
77,VIP Profile,TWO BIRDS ONE STONE,Mount Hodgson,Erewhon,Deep State,Two Birds One Stone,Find Midas and complete the mission.,
78,VIP Profile,Wonderland's Plan for the Kingmaker Operation,Lake Country,Skell Security Assembly Hall,Red Patriot,N/A,"S tower, third floor office where Skell Cred chest is.",
79,VIP Profile,The list of Presidential Succession,Smuggler Coves,Auroa Materials Deposit,Red Patriot,Hazardous Material,Kill Manticore and if necessary collect intel from body.,
80,VIP Profile,U.S. targets lists,Driftwood Islets,Driftwood Islets Testing Zone,Red Patriot,Fireworks,Kill Harpy and collect intel from body.,
81,VIP Profile,Wonderland Update,Lake Country,Skell Security Assembly Hall,Red Patriot,Stone Cold,Kill Stone.,
82,VIP Profile,Encrypted message from Stone to Oracle,Windy Islands,roving convoy on Shack Island,Red Patriot,Information Warfare,Kill Oracle and if necessary collect intel from body.,
83,VIP Profile,Bukharov's speech,Wild Coast,Ancient Harbour,Red Patriot,How to Catch a Mastermind,Kill Griffin.,
84,VIP Profile,An Email from Kraken to Stone,Fen Bog,Drone Station W051,Red Patriot,In Deep Waters,Kill Kraken and collect intel from body.,
85,VIP Profile,Skell Engineers Required,Silent Mountain,O'Connors Mine (Vestige),Red Patriot,Snow Trail,Kill Cyclops and collect intel from body.,
86,VIP Profile,Stone and Bukharov's agreement,New Stirling,Abandoned Site,Red Patriot,Blood of the Father,Kill Basilisk and collect intel from body.,
87,VIP Profile,Email to Stone from Medusa,New Stirling,World Seed Vault,Red Patriot,Wall Run,Kill Medusa and collect intel from body.,
88,VIP Profile,Walker's legacy,Channels,Abandoned Barracks,Red Patriot,N/A,Wood barracks building directly N of helipad.,
89,VIP Profile,Sphinx's Kill List,Seal Islands,Abandoned Barracks,Red Patriot,Under the Mask,Kill Sphinx and collect intel from body.,
90,VIP Profile,Technical Data on Stone's Operation,Fen Bog,Fen Bog Port,Red Patriot,N/A,On a stack of pallets on the S pier/side of the sub. Mission doesn't have to be active.,
91,VIP Profile,Bio Introduction of Scott Mitchell,Mount Hodgson,Erewhon,Red Patriot,Right from the Top,Use the radio near the entrance for Red Patriot/Mitchell and complete the mission.,
92,VIP Profile,A communique from Dr. Ballard detailing the antidote,Wild Coast,Unmarked location,Amber Sky,Drastic Remedy,"Extract Finley to the airstrip SSE of Obersvatory Hill, survive ambush, and complete the mission.",
93,VIP Profile,"Dr. Ballard's findings on ""Amber Ruin""",Fen Bog,Unmarked location,Amber Sky,Human Trial(s),Deliver samples to Ballard at boat dock just NE of Broughton Channel and complete the mission.,
94,VIP Profile,Buyer Identification: Freddy Porter,Mount Hodgson,Skell Technology Location,Amber Sky,The Devil We Want,Extract Porter to site next to lake S of Chem-Extraction Complex and complete the mission.,
95,VIP Profile,Buyer Identification: Unknown armed militia group,Wild Coast,Hybrid Engine Factory,Amber Sky,Slumbering Beast,Leave the site undected and complete the mission.,
96,VIP Profile,Buyer Identification: The Mu,Fen Bog,Whitestone Farm,Amber Sky,Chasing an Apocalypse,Leave the site undected and complete the mission.,
97,VIP Profile,A picture of the Amber Ruin's effect,Silent Mountain,Abandoned Site,Amber Sky,Breaking the Wheel,Extract Morgan to site NNW of Hemlock Station and complete the mission.,
98,VIP Profile,SITREP on Auroa,Smuggler Coves,Skell Technology Location,Amber Sky,The Root of All Evil,Destroy the backup server just NW of Polymorph Modeling and complete the mission.,
99,VIP Profile,Lesion,Mount Hodgson,Erewhon,Amber Sky,Hazardous Material,Use the radio near the entrance for Amber Sky/Lesion and complete the mission.,
100,VIP Profile,A mail of a Bodark's victim,Sinking Country,Equipment Depot,Operation Motherland,N/A,On the ground next to the pile of bodies in the televised execution area near the end of the yellow road in.,
101,VIP Profile,CIA's report on Kostas Tchertkov,Wild Coast OR Whalers Bay,Engine R&D Center OR Mechanical R&D Center,Operation Motherland,Shoot the Thieves,Eliminate all targets and complete the mission.,
102,VIP Profile,Message from a Bodark's victim,Infinity,Polaris Residences,Operation Motherland,N/A,On the floor next to the fireplace in the N house.,
103,VIP Profile,CIA's report on Sentinel,N/A,N/A,Operation Motherland,N/A,"Was simply added as collected with Motherland, even if that save has never launched Conquest.",
104,VIP Profile,CIA's report on the Outcasts,Liberty,Ancient Fort,Operation Motherland,N/A,"The new Outcast base, on some crates left of Haruhi's spot.",
105,VIP Profile,Karen Bowman's biography,N/A,N/A,Operation Motherland,N/A,"Was simply added as collected with Motherland, even if that save has never launched Conquest.",
106,VIP Profile,A conversation between Schulz and Ito,Mount Hodgson,Erewhon,Operation Motherland,N/A,Attempt to walk into Erewhon.,
107,VIP Profile,Outcast investigation on Bodarks war crimes,Channels,Unmarked location,Operation Motherland,N/A,Outside the N end of the building on Misty Lake.,
108,VIP Profile,Anonymous mail to Sentinel,Liberty,Auroa Parliament,Operation Motherland,N/A,On a portable desk at the southern checkpoint of the Battle of Parliament mission.,
109,VIP Profile,A Wolf and a Sentinel about Bodarks,Wild Coast,Outpost Blue Tiger,Operation Motherland,N/A,On some crates under camo netting just past base entrance on the left.,
110,VIP Profile,The collaboration with the Bodarks,Lake Country,Camp Viper,Operation Motherland,N/A,On a desk in the medical popout building E of the helipad.,
111,VIP Profile,A Bodark memo,Infinity,Auroa Airport,Operation Motherland,N/A,"On a crate outside the NE hangar, next to the advisor HVT.",
112,VIP Profile,Analysis of the Bodark proposition to Sentinel,Sinking Country,Camp Tiger,Operation Motherland,N/A,"Garage on NW side of base, second floor.",
113,VIP Profile,Message from Skell to the CIA,New Argyll,Skell Estate,Operation Motherland,N/A,Main floor on table in front of the big map.,
114,VIP Profile,Haruhi Ito's diary - Thoughts on autonomy,Windy Islands,South Cape Station,Operation Motherland,N/A,"Haruhi's office, on the table.",
115,VIP Profile,Haruhi Ito's biography,Windy Islands,South Cape Station,Operation Motherland,Burned Sanctuary,Clear the camp and complete the mission.,
116,VIP Profile,Memo - The Bodark's Orders,Good Hope Mountain,Natural Hazards Control,Operation Motherland,N/A,Biolocked room inside main building where a hostage is during IT Rescue.,
117,VIP Profile,Civilians discovering Bodark's war crimes,Silent Mountain,Auroa Data Farm,Operation Motherland,N/A,On the ground by the executed civilians out front of the server building.,
118,VIP Profile,CIA's report on Vassili Kropotkine,New Argyll,Traces of Ancient Ruins,Operation Motherland,Golden Parachute,Extract Parks and complete the mission.,
119,VIP Profile,CIA's report on Fyodor Archinov,Infinity,Unmarked location,Operation Motherland,The Advisor's Extraction,Extract the advisor and complete the mission.,
120,VIP Profile,CIA's report on the Wolves,N/A,N/A,Operation Motherland,N/A,"Was simply added as collected with Motherland, even if that save has never launched Conquest.",
121,VIP Profile,CIA's report on the Bodarks,Windy Islands,South Cape Station,Operation Motherland,Heart of the Revolution,Recon the camp and complete the mission.,
122,VIP Profile,CIA's report on Auroa,N/A,N/A,Operation Motherland,N/A,"Was simply added as collected with Motherland, even if that save has never launched Conquest.",
123,VIP Profile,Katya Maksimova's Biography,Sector 1,Heliport / road,Operation Motherland,Nowhere to Run,Destroy all targets and complete the mission.,
124,VIP Profile,Haruhi Ito's diary - Ready for a revolution,Windy Islands,South Cape Station,Operation Motherland,N/A,"Haruhi's office, on top of drawer chest in back left corner.",
125,VIP Profile,Report of a Bodark execution,Cape North,Underwater Cable Station,Operation Motherland,N/A,On a desk in the server room.,
126,VIP Profile,A Bodark's personal diary,Cape North,Underwater Cable Station,Operation Motherland,N/A,On some crates on the dock left (from cave entrance).,
127,VIP Profile,Katya Maksimova's Diary - After the fall,Sector 2,Camp Salamander,Operation Motherland,???,Bugged and uncollectable.,
128,VIP Profile,Katya Maksimova's Diary - Views on Auroa,Sector 3,Prototype Workshop,Operation Motherland,???,Bugged and uncollectable.,
129,VIP Profile,Katya Maksimova's Diary - The operation,Sector 3,Lavaduct,Operation Motherland,???,Bugged and uncollectable.,
130,VIP Profile,Discussion between the Bodarks leaders,Sector 3,Lavaduct,Operation Motherland,???,Bugged and uncollectable.,
131,VIP Profile,Sentinel's application to the Bodarks,Sinking Country,Equipment Depot,Operation Motherland,???,Bugged and uncollectable.,
132,VIP Profile,"Jeremy Parks, Skell Tech COO - Personal Diary",New Argyll,Skell Estate,Operation Motherland,???,Bugged and uncollectable.,
133,VIP Profile,???,???,???,Operation Geenstone,???,Bugged / unknown / uncollectable.,
134,VIP Profile,???,???,???,Operation Geenstone,???,Bugged / unknown / uncollectable.,
135,VIP Profile,???,???,???,Operation Geenstone,???,Bugged / unknown / uncollectable.,
136,VIP Profile,???,???,???,Operation Geenstone,???,Bugged / unknown / uncollectable.,
1,World Lore,Volcanic Eruption,Cape North,Unmarked location,Operation Geenstone,N/A,"Old lava flow W of Lake Kathryn - look for gray patch on S slope, directly W of Perry Forest Bivouac.",
2,World Lore,Kings of the forest,Lake Country,Skell Technology Location,Operation Geenstone,N/A,Observation tower/lab on SE slope of Steadman Mountain.,
3,World Lore,Captain Cook,Cape North,Skell Foundation Campus,Operation Geenstone,N/A,"Euclid Hall - W compass point of campus, second floor building on S side of main gate.",
4,World Lore,Traders & Adventurers,Seal Islands,Camp Seal Cove,Operation Geenstone,N/A,Shack at far S end of Entry Island.,
5,World Lore,The La Perouse Expedition,Infinity,Unmarked location,Operation Geenstone,N/A,"N end of Astrolabe Beach, E of Antares District - shipwreck debris on beach near shore.",
6,World Lore,The Whalers,Wild Coast,Anchor Point Station,Operation Geenstone,N/A,Harpoon in the large building on shore with ramp leading down into water.,
7,World Lore,Auroa Company,Windy Islands,South Cape Station,Operation Geenstone,N/A,On the main dock in the middle of the settlement.,
8,World Lore,The Gold Rush,Silent Mountain,O'Connors Mine (Vestige),Operation Geenstone,N/A,In shack near mine entrance.,
9,World Lore,Depleted Veins,Silent Mountain,Mathilda's Palace (Vestige),Operation Geenstone,N/A,Third floor of central building next to Skell chest. Not noted on map marker for location.,
10,World Lore,Wold War II,Liberty,Abandoned Site,Operation Geenstone,N/A,Plane crash on hillside NW of Auroa Hospital. Side mission will take you here.,
11,World Lore,Cold War,Seal Islands,Sentinel Corp. Naval Base,Operation Geenstone,N/A,"Second floor of main admin building, just S of helipad.",
12,World Lore,99 Year Lease,Seal Islands,Naval Base Auroa Airfield,Operation Geenstone,N/A,"Inside large warehouse, N side.",
13,World Lore,Resident Exode,New Stirling,Ardmore Farm,Operation Geenstone,N/A,Inside the main farmhouse.,
14,World Lore,Nuclear Weapons,Good Hope Mountain,Bunker Edgehod South,Operation Geenstone,N/A,Upper level of E bunker.,
15,World Lore,Operation Harpoon,Channels,Cold War Site,Operation Geenstone,N/A,"Island off West Cape, technically outside province. Two ladders on W side. On radio table.",
16,World Lore,Base's Closure,Sinking Country,Camp Tiger,Operation Geenstone,N/A,"Third floor, main building.",
17,World Lore,Archipelago For Sale,Silent Mountain,Auroa Data Farm,Operation Geenstone,N/A,"E corner of SW large building, bookshelf under picture.",
18,World Lore,Construction Begins,Infinity,Skell Security,Operation Geenstone,N/A,"Two story building on N side, just E of the tallest building at N compass point.",
19,World Lore,Skell Settlers,Liberty,Auroa Parliament,Operation Geenstone,N/A,"Central building sunken plaza, SW side café area.",
20,World Lore,Production Begins,Lake Country,Skell Security Assembly Hall,Operation Geenstone,N/A,"S tower, third floor workbench.",
21,World Lore,Sentinel Corp. Contract,Liberty,Detention Center,Operation Geenstone,N/A,Ground floor behind security desk.,
22,World Lore,Operation Citadel,Sinking Country,Sentinel Corp. Land Base,Operation Geenstone,N/A,"Second floor main office, near weapon blueprint.",
23,World Lore,STOLAS,Restricted Area 01,Omega R&D Center,Operation Geenstone,N/A,Conference room just down the hall outside Madera's office in central building.,
24,World Lore,LEGION,Restricted Area 01,Prototype Workshop,Operation Geenstone,N/A,Second floor work area of NW workshop.,
25,World Lore,INCUBUS,Whalers Bay,Mechanical R&D Center,Operation Geenstone,N/A,"Second floor, main building, on a desk in the middle.",
26,World Lore,ANDRAS,Mount Hodgson,Checkpoint Tiger Echo,Operation Geenstone,N/A,In the checkpoint building.,
27,World Lore,MURMUR,Channels,Red Shark Outpost,Operation Geenstone,N/A,"Garage tent, directly E of helipad.",
28,World Lore,AYM,Smuggler Coves,Polymorph Modeling,Operation Geenstone,N/A,"Second floor, central building.",
29,World Lore,AZRAEL,Lake Country,Maintenance Area,Operation Geenstone,N/A,"E warehouse, inside right on loading dock.",
30,World Lore,BEHEMOTH,Whalers Bay,Land Chassis Factory,Operation Geenstone,N/A,"Third floor main factory, same room as weapon blueprint.",
31,World Lore,CITY CHERUBIM,Lake Country,Skell Security Operations,Operation Geenstone,N/A,"Main office, second floor, S building over stream.",
32,World Lore,SKELL-FARMER,New Stirling,Agronomy Center,Operation Geenstone,N/A,Second floor office of main building E wing.,
33,World Lore,World 2.0 Hall of Fame,Liberty,Ayn Rand Residences,Operation Geenstone,N/A,"House closest to beach with tennis court, second floor bedroom.",
34,World Lore,SKY CHERUBIM,Liberty,Liberty Airport,Operation Geenstone,N/A,"Second floor of tech building, just N of hangars.",
35,World Lore,MALPHAS,Wild Coast,Control Station Tiger 01,Operation Geenstone,N/A,Inside the shack on the SE corner of compound.,
36,World Lore,SUCCUBUS,Fen Bog,Control Station Tiger 02,Operation Geenstone,N/A,Second floor of building.,
37,World Lore,BAAL,Sector 1,Abandoned Site,Raid,N/A,Fishing Cabin SE of Ancient Harbor.,
38,World Lore,GARGOYLE,Sector 2,Cold War Site,Raid,N/A,Tower at S edge of island overlooking entrance.,
39,World Lore,CERBERUS,Sector 3,Abandoned Site,Raid,N/A,"NE of No Man's Land along coast, past the marked location (water access).",
40,World Lore,SKELL-EXCAVATOR,Mount Hodgson,Bald Peak Mine,Operation Geenstone,N/A,Second floor of main office.,
41,World Lore,SKELL-TREEMOWER,New Stirling,Glenorchy Orchard,Operation Geenstone,N/A,NE corner of large garage/hanger.,
42,World Lore,SKELL-HANDY,Wild Coast,Hybrid Engine Factory,Operation Geenstone,N/A,Third floor of office tower on E end of complex.,
43,World Lore,SKELL-CARRIER,Wild Coast,Electric Engine Factory,Operation Geenstone,N/A,"Second floor office of main factory, above Skell cred chest.",
44,World Lore,SKELL-TRANSPORTER,Whalers Bay,Air Chassis Factory,Operation Geenstone,N/A,Second floor of S building by helipad.,
45,World Lore,SKELL-DOCTOR,Smuggler Coves,Emergency Center,Operation Geenstone,N/A,Second floor of N building in the back.,
46,World Lore,SKELL-FIELDER,New Stirling,Kelso Farm,Operation Geenstone,N/A,"Second floor of warehouse building in SW corner, E side entry.",
47,World Lore,AAMON,Fen Bog,Control Station Tiger 03,Operation Geenstone,N/A,Second floor of main office.,
48,World Lore,SKELL QUANTUM COMPUTER,Sector 2,Sentinel Corp. Location,Raid,N/A,Lava flow research site SE of Camp Salamander.,
1,Stashes,First Serpent Stone,Wild Coast,Unmarked location,Tomb Raider,N/A,"Sea stack NW of Observatory Hill (access only from air, you can land a chopper on it).",N/A
2,Stashes,Second Serpent Stone,Smuggler Coves,Unmarked location,Tomb Raider,N/A,Ancients alter on cliff overlooking Galleon Cove; bowsprit on shipwreck points at it.,N/A
3,Stashes,Third Serpent Stone,Sector 1,Abandoned Site,Tomb Raider,N/A,Shelf at waterline on NW side of small island with cabin W of Golem Island Satellite Dish.,N/A
4,Stashes,Beast Lair,Good Hope Mountain,Homesteader Site,Operation Geenstone,N/A,S of Mathilda's Palace on ridge between Scott and Unknown Glaciers.,"Silent Mountain - unmarked cave. Start at Impetuous Stream Bivouac, follow river upstream to S and around the curve E, up on a cliff on the left side as you go up. Chest in cave will show on map with proximity."
5,Stashes,The Orchard,Infinity,Abandoned Site,Operation Geenstone,N/A,"Second floor, farmhouse on the hill W of Sirius Residences, SE of Outpost Green Viper.","Under a tree outside to S in the Orchard, over by the water tower. Will have fireflies around it at night, but not required to get chest."
6,Stashes,The Scavenger,Mount Hodgson,Cold War Site,Operation Geenstone,N/A,SE of Checkpoint Tiger Echo.,"Mount Hodgson - Cold War Site to the NE, on the border between Wild Coast and Mount Hodgson, bunker on the W edge of Rocky Valley. Lower right X is location of the intel, upper left is the treasure location."
7,Stashes,Ghost Story part 1,Infinity,Abandoned Site,Operation Geenstone,N/A,"Just S of Raven Wood. ""Annie""","When all parts combined, Abandoned Site SE of Lake Annie in Restricted Area 01, just NW of Gate 02."
8,Stashes,Ghost Story part 2,New Stirling,Abandoned Site,Operation Geenstone,N/A,"NW of Checkpoint Viper Hotel, SE of Glenfield Farm. ""South""","When all parts combined, Abandoned Site SE of Lake Annie in Restricted Area 01, just NW of Gate 02."
9,Stashes,Ghost Story part 3,Liberty,Abandoned Site,Operation Geenstone,N/A,"SW edge of Small Lake below Skell Dam, in the shack off by itself on the NW. ""East""","When all parts combined, Abandoned Site SE of Lake Annie in Restricted Area 01, just NW of Gate 02."
10,Stashes,The Caveman part 1,Smuggler Coves,Cave Site,Operation Geenstone,N/A,On shore NW of White Cross Peak.,"Smuggler Coves - Traces of Ancient Ruins near the border with Mount Hodgson at the pass between Outlaws Valley and Shacks Valley. Circle is location of intel, x is treasure location."
