Order,Investigation,Clue Name,Province,Location,Episode,Mission,Notes
38,Is Ayana Puri a traitor?,Ayana Puri on her relation with Sentinel Corp,Mount Hodgson,Erewhon,Operation Greenstone,Point of No Return,Speak to Puri in Erewhon after completing the mission.
39,What is the plan to extract the Strategist?,MacKenzie Debriefs on Legion,Restricted Area 01,Freeman Residences,Deep State,Black Sheep,Speak with Mackenzie and complete the mission.
39,What is the plan to extract the Strategist?,Security Intel from Sekulic,Seal Islands,Traces of Ancient Ruins,Deep State,Lone Wolf,Speak with Sekulic and complete the mission.
39,What is the plan to extract the Strategist?,Van Dyke's Confession,Liberty,Auroa Solar Power Plant,Deep State,Spirit of the Hive,Speak with Van Dyke and complete the mission.
40,Who is the Strategist?,Crossed off the Guest List.,Liberty,John Dewey Residences,Deep State,N/A,"Beach house with the double tennis courts, second floor bedroom."
40,Who is the Strategist?,Stephanie Burgess comes clean.,Seal Islands,Traces of Ancient Ruins,Deep State,Lone Wolf,Speak with Sekulic and complete the mission.
40,Who is the Strategist?,Ultralife issue #172,Seal Islands,Unmarked location,Deep State,N/A,"Intel Clue Location is wrong, it's the offshore platform S of naval base airfield to E, not stated mountain."
41,What is the CLAW project?,Analysis of CLAW's Utility,Seal Islands,Cave Site,Deep State,N/A,"Sea cave S of Albatross Peak. Second collectible on the way in, roughly where cave becomes bunker. Mission doesn't have to be active."
41,What is the CLAW project?,Bringing in Van Dyke,Liberty,Control Station Fox 01,Deep State,N/A,On a crate by the generator in the NE corner of camp.
41,What is the CLAW project?,CLAW Demonstration Footage,Channels,Auroa Power Plant,Deep State,One Mind Army,View the personel list and complete the mission.
41,What is the CLAW project?,Rejected Application Notice,Seal Islands,Sentinel Corp. Naval Base,Deep State,N/A,"Comms building, just S of server building by the main gate."
42,Who is behind the CLAW project?,Inspection Debrief,Channels,Channels R&D Center,Deep State,N/A,"Office part of complex, near the middle, rooms protected by lasers."
42,Who is behind the CLAW project?,Paxton's Files,Seal Islands,Cave Site,Deep State,Enemy Within,Speak with Paxton and finish the cutscene.
42,Who is behind the CLAW project?,Stephanie Burgess' Insights,Seal Islands,Traces of Ancient Ruins,Deep State,Lone Wolf,Speak with Sekulic and complete the mission.
43,Why was Sam Fisher sent to extract the Strategist?,A Worried Email,Channels,Channels R&D Center,Deep State,N/A,"Up top, N most end of base near one of the five microwave dishes."
43,Why was Sam Fisher sent to extract the Strategist?,Friendly email from Miles,Channels,Channels R&D Center,Deep State,N/A,First floor lab building near center of complex.
43,Why was Sam Fisher sent to extract the Strategist?,Leaked CIA File,Channels,Channels R&D Center,Deep State,N/A,Checkpoint building on docks.
44,"What, exactly, did they do to Midas?",CLAW and Project Deus' Tech,Restricted Area 01,Checkpoint Fox Echo,Deep State,N/A,Checkpoint building on E side of road.
44,"What, exactly, did they do to Midas?",CLAW Engineering Report,Channels,Navy Fueling Station,Deep State,N/A,Largest warehouse building at S end of base.
44,"What, exactly, did they do to Midas?",Maddox and Mind-Scanning,Seal Islands,Sentinel Corp. Naval Base,Deep State,N/A,"Second floor of server building, just W of main admin building."
44,"What, exactly, did they do to Midas?",Report on Ghosts Status,Channels,Navy Fueling Station,Deep State,N/A,"Motor pool garage, NE corner of base."
45,What happened to Midas after the crash?,Capture Report,Liberty,Liberty Airport,Deep State,N/A,"Mobile building, SE side of main terminal."
45,What happened to Midas after the crash?,Drone Support Request,Liberty,Liberty Airport,Deep State,N/A,Outside base of ATC tower at S end.
45,What happened to Midas after the crash?,Encrypted Note from Midas,Smuggler Coves,Abandoned Site,Deep State,N/A,"Plane crash just NE of Abandoned Site, S of Discovery Mountain, W of Outpost Red Tiger. Moved here, was originally found in the cafeteria building at the Airship Air Station where you start the game when introduced with Deep State."
45,What happened to Midas after the crash?,Recording of Midas' Capture.,Channels,Abandoned Site,Deep State,Missing in Action,Speak with Sam and complete the mission.
45,What happened to Midas after the crash?,Suspicous Individual Report,Restricted Area 01,Outpost Red Fox,Deep State,N/A,"Armory tent, W edge of camp core."
46,What is the origin of the Dark Cell?,Email from Stone,Good Hope Mountain,Bunker Edgehod South,Deep State,N/A,Lower level of E bunker.
46,What is the origin of the Dark Cell?,Extract from Grant's Diary,Good Hope Mountain,Bunker Edgehod South,Deep State,N/A,W bunker.
46,What is the origin of the Dark Cell?,Intimidation from Monroe,Lake Country,Camp Viper,Deep State,N/A,Cafeteria tent in SE corner of compound.
46,What is the origin of the Dark Cell?,Memo from Stone to Monroe,Lake Country,Camp Viper,Deep State,N/A,Mobile building in NW corner of compound.
47,What is Walker's plan?,Drone propelling missle schematics,Seal Islands,Shark Base,Operation Greenstone,Into the Wolf's Den,Torpedo storage control room. Shows up as a blueprint when viewed in mission intel but black and white drawing when viewed in Investigations.
47,What is Walker's plan?,LINCHPIN program progress eport,Seal Islands,Shark Base,Operation Greenstone,Into the Wolf's Den,"Upper floor, main Ops room, N side. Lapotop, mission must be active."
47,What is Walker's plan?,Walker's email about the Linchpin program,Mount Hodgson,Erewhon,Operation Greenstone,Into the Wolf's Den,Speak to Skell after finishing at Shark Base.
47,What is Walker's plan?,"Walker's Journal, part 1",Seal Islands,Shark Base,Operation Greenstone,Into the Wolf's Den,"Upper floor, main Ops room, S side. Folders on table, mission must be active."
48,What is the relationship between Stone and Coste?,Greetings from Coste,Liberty,Jace Skell Dam,Deep State,N/A,"Second floor, two story building just SE of the map marker."
48,What is the relationship between Stone and Coste?,Info about Paladin Nine,Channels,Auroa Power Plant,Deep State,N/A,"NW most warehouse, N end of building by the truck dock."
48,What is the relationship between Stone and Coste?,Reassurance from Skell,Liberty,Jace Skell Dam,Deep State,N/A,"Upper catwalk, middle of main generator house."
48,What is the relationship between Stone and Coste?,Security Breach Warning,Liberty,Control Station Fox 01,Deep State,N/A,Workbench in the garage on the W side.
48,What is the relationship between Stone and Coste?,Update on cover,Channels,Auroa Power Plant,Deep State,N/A,Third floor of office tower on E side of compound by the helipad.
