Order,Name,Province,Location,Originator,XP,Credits,Other Rewards,Locations,Notes
11,Pirate Radio,Infinity,Antares District,Triggers automatically after completing Song for a Revolution.,"1,600","1,500",-,"Infinity - Antares District, Restricted Area 01 - Drone Station W161",
12,Icarus Blues,Mount Hodgson,Erewhon,Jericho at the raid desk in front of Mads' tent.,"1,600","1,500",Icarus (Title),"Mount Hodgson - Erewhon, Channels - Channels Port, Restricted Area 01 - Assembly Hall Omega 02, anywhere on map in 'the wild' for Azrael to shoot down, ",Available after rescuing Skell.
13,Written on Stone,Channels,Semi-random spawn at any large civilian location,"Two civilians with a wooden box, blue rope, and shovel.","3,200","2,500",Indie Jones Shirt,"Channels -  semi-random spawn at any large civilian location, Traces of Ancient Ruins just NW of Channels R&D Center, Restricted Area 01 - Outpost Red Ferret, New Argyll - Ancient Fort SW of Danna Forest, Fen Bog - roving convoy, Wild Coast - Ancient Harbor on Stubb Bay, Cape North - Cave Site N of Sugarloaf Mount","Hanover will be back near the cave entrance after talking with her to complete the mission, and has additional dialog options."
14,A Sane New World,Infinity,Semi-random spawn at any large civilian location,Two soldiers questioning a civilian OR two soldiers holding two civilians on their knees at gunpoint,"1,600","1,500",Caretaker (Title),"Infinity - semi-random spawn at any large civilian location, Infinity Medical Center, Vega Residences, Skell Security Head Office, Lake Country - Homesteader Site N of Rocky Moor and E of Flock Lake, New Argyll - Outpost Black Tiger",
15,Tovarish,Silent Mountain,Skell Technology Location,Russian on roof observing the base.,"1,600","1,500",Chapka,"Silent Mountain - Skell Technology Location SE of Submarine Cable Control, Submarine Cable Control, Pumping Station, New Argyll - Long Valley Residences",
16,Horn of Plenty,Mount Hodgson,Erewhon,Homesteaders working on generator in NW corner.,"1,600","1,500",-,"Mount Hodgson - Erewhon, Smuggler Coves - Polymorph Modeling, Maunga Nui Port, roving convoy, Lake Country - Skell Security Assembly Hall",
17,Natural Medicine,Smuggler Coves / Liberty,Emergency Center / Auroa Hospital,Civilian talking to doctor about finding/buying medicine OR group of civilians at entrance talking about doctors not doing anything.,"1,600","1,500",-,"Smuggler Coves - Emergency Center OR Liberty - Auroa Hospital, Infinity - Alpha Centauri Residences, New Argyll - Cold Storage Center",
18,Twisted Nerves,Channels / Seal Islands,Semi-random spawn,Two soldiers talking about target practice.,"1,600","1,500",-,"Channels / Seal Islands - semi-random spawn, Traces of Ancient Ruins SE of Cold War Ruins fuel depot on Long Island, Cold War Ruins fuel depot, Auroa Power Plant, Step Up Startup",
19,Keep it on Ice,Liberty,Eternity / Cryogenization Center,Two civilians standing around looking nervous (maybe talking about a disappearing body).,"1,600","1,500",Athlete (Emblem),"Liberty - Eternity / Cryogenization Center, Cryohope, Jane Addams Residences, Cryogenization Center, Skell Technology Location on Queens High, ",
20,Bring Your Own,Infinity,Skell Technology Location,Mission triggers automatically when you approach the location.,"1,600","1,500",-,"Infinity - Skell Technology Location just SW of Skell Security, random soldier at random* locations in province, New Stirling - Control Station Viper 02, Burnside Orchard, Abandoned Site N of Dunback Farm",
21,A New Perspective,Silent Mountain / Good Hope Mountain / Whalers Bay / Channels / Seal Islands / Liberty,Semi-random spawn,Two scientists and a crashed drone OR hardhat in Natural Hazards Control / Aurora Survival Shelter prison cell,"1,600","1,500",-,"Silent Mountain / Good Hope Mountain / Whalers Bay / Channels / Seal Islands / Liberty - semi-random spawn, Whaler's Bay - unmarked location on cliff just NW of Behemoth Passage, series of unmarked locations with drone pylons heading S down the fjord, Good Hope Mountain - Drone Station W111",
22,Gone Fishing,Mount Hodgson,Scott Homestead,Akamai Lomu on the fishing on the pier down on Lake Mary.,"3,200","2,500",Koi (Tattoo),"Mount Hodgson - Scott Homestead, Whalers Bay - Traces of Ancient Ruins N of Behemoth Passage, E of Ancient Harbor, Sinking Country - Ancient Harbor",
23,Eco-warrior,Cape North,Semi-random spawn,Commander and soldier interrogating a civilian about a thief.,"1,600","1,500",US Woodland (Gear Paint),"Cape North - semi-random spawn, Traces of Ancient Ruins lighthouse W end of Twin Islands",Mission is 'timed' and you must take out Sentinel before they break in and kill Kerri.
24,Mind Over Matter,Driftwood Islets,"Semi-random spawn, can be just into Cape North as well.","Two soldiers, one examining a drone totem, the other standing watch.","1,600","1,500",-,"Driftwood Islets - semi-random spawn, Ancient Cemetery N of Conical Hill, Camp Kodiak, Abandoned Site E of Conical Hill",
25,Home Invasion,Good Hope Mountain / Silent Mountain,Semi-random spawn,One or two crying civilians sitting on the ground.,"1,600","1,500",Chessmaster (Title),"Good Hope Mountain / Silent Mountain - semi-random spawn, Drone Station W071",
26,Firepower,Channels,Channels Port,Talking Romero continues Icarus Blues and Stahr to starts Firepower.,"1,600","1,500",MPX (Blueprint),"Channels - Channels Port, Whalers Bay - Land Chassis Factory, Fen Bog - Fen Bog Testing Zone, Driftwood Islets - Driftwood Islets Testing Zone","Bugged? Shouldn't be able to start until after Icarus Blues, but was available at the same time."
27,Treasure Island,Smuggler Coves,Pirate Ruins,Two soldiers investigating the site.,"3,200","2,500",-,"Smuggler Coves - Pirate Ruins on SW shore of Galleon Cove, Spanish Fortress, unmarked location on top of stone arch up the fjord to S, Cave Site SE of arch, Wild Coast - Traces of Ancient Ruins SE of Control Station Tiger 01, Whalers Bay - Cave Site on shore W of Lookout Head, Cave Site NW of Ship's Boy Peak",Visiting fort first will skip Galleon Cove soldiers.
28,Weapons of Revenge,Good Hope Mountain / Channels / Restricted Area 01 / Seal Islands,Semi-random spawn,Dead scientist and soldier with destroyed drones and damaged truck.,"1,600","1,500",TCI Patrol II Headset,"Good Hope Mountain / Channels / Restricted Area 01 / Seal Islands - semi-random spawn, Restricted Area 01 - any Checkpoint in province, Gold Trail Testing Zone",Clue/objective directs to specific checkpoints but marker may appear on others and only one must be visited to collect both intels.
29,A Soul in Rest,Fen Bog,"Semi-random spawn, only at night.","Two Sentinel soldiers next to a vehicle, talking about lanterns.","1,600","1,500",Bradley Bowie (Knife),"Fen Bog - semi-random spawn, Ancient Village N of Fen Bog Port, Sinking Country - random civilian/soldier and intel at random* locations in province, Abandoned Site E of Russell Homestead, Bunker Edgehod South",
30,The Meeting,Windy Islands,South Cape Station,Haruhi in her HQ.,"1,600","1,500",-,"Windy Islands - South Cape Station, Good Hope Mountain - Red Weasel Outpost, Sinking Country - Sentinel Corp. Land Base, Seal Islands - Abandoned Barracks",Becomes available during Innocent Slaughter.
31,Sacred Land,Smuggler Coves,Traces of Ancient Ruins,Debra in the forest SW of Lake Clearwater.,"1,600","1,500",-,"Smuggler Coves - Traces of Ancient Ruins, three logging sites at the N, NW, and SW edges of Lake Clearwater. Will trigger response from Outpost Red Tiger.",Comes with Ultimate Edition. Slight dialog difference depending on if you kill anyone vs just destroy the harvesters.
32,The Siren's Call,New Argyll,Brown Homestead,Sheafe toward back of camp.,"1,600","1,500",-,"New Argyll - Brown Homestead, unmarked cave at Fortune Stream falls",Comes with Year 1 Pass.
33,Death on Primetime,Windy Islands,Semi-random spawn,Any large civilian facility supervisor talking to employee OR in the wild two civilians making camp and talking about Shack Island,"1,600","1,500",-,"Windy Islands - semi-random spawn at any large civilian location or in the wild, Skell Technology Location circular trash pile E of Captain Achab Hill, Skell Technology Location junked out tech building to SE",
34,Bad Harvest,New Stirling,Semi-random spawn,Pair (at least) of civilians in field talking about issues with crops.,"1,600","1,500",-,"New Stirling - semi-random spawn, Agronomy Center, Kelso Farm, Control Station Viper 03, Skell Technology Location at E end of Gold Digger Pass, Drone Station W132",Sometimes the originators can be shy and you have to wander around a while before they'll spawn in. Recommend attempting between 1pm and dark.
